,classifier,feature_type,num_runs,top_acc,mean_acc,sd_acc,top_f1,mean_f1,sd_f1
0,KNN,MFW,18000,1.0,0.6798713175713175,0.15474520483363435,1.0,0.6837043490643733,0.17525148464941068
1,KNN,MFW word n-grams,54000,1.0,0.6355271765271765,0.14035223001553693,1.0,0.6444489943564709,0.17127091023728505
2,KNN,MFW character n-grams,162000,1.0,0.6825496213662879,0.1510452219829128,1.0,0.6896821478319388,0.16728788906738792
3,KNN,all,234000.0,1.0,0.6659827051549273,0.14871421894402803,1.0,0.6726118304175944,0.17127009465136123
4,SVM,MFW,18000,1.0,0.7720561993561994,0.1496844421277459,1.0,0.7660055983515268,0.16256209951977174
5,SVM,MFW word n-grams,54000,1.0,0.7462142931142931,0.15881953228761322,1.0,0.7415927464477986,0.17245381386188752
6,SVM,MFW character n-grams,162000,1.0,0.7645472589139255,0.15215271077154596,1.0,0.7603953898795711,0.16275567470874627
7,SVM,all,234000.0,1.0,0.7609392504614728,0.15355222839563504,1.0,0.7559979115596321,0.16592386269680184
8,RF,MFW,18000,1.0,0.7763653235653236,0.14387522547853263,1.0,0.7718218192929345,0.1532298954022073
9,RF,MFW word n-grams,54000,1.0,0.7360261423761424,0.15440428755043034,1.0,0.7308047972087062,0.16372844983309354
10,RF,MFW character n-grams,162000,1.0,0.7619955630788965,0.14539460271431115,1.0,0.7567010714256056,0.1543555128344377
11,RF,all,234000.0,1.0,0.7581290096734542,0.1478913719144247,1.0,0.7531092293090821,0.15710461935657952
