Source,Link,Novels
Autores de Concordia,www.autoresdeconcordia.com.ar,1
Bayerische Staatsbibliothek digital,https://www.digitale-sammlungen.de/,1
Biblioteca Digital Argentina,http://www.biblioteca.clarin.com/pbda/novela,11
Biblioteca Digital de Castilla y León,https://bibliotecadigital.jcyl.es,1
Biblioteca Digital de la Biblioteca Nacional de Cuba José Martí,http://bdigital.bnjm.cu/ ,2
Biblioteca Digital del ILCE (Instituto Latinoamericano de la Comunicación Educativa),http://bibliotecadigital.ilce.edu.mx/,2
Biblioteca Digital Hispánica,http://bibliotecadigitalhispanica.bne.es/,6
Biblioteca Digital Mexicana del Bicentenario,http://www.bicentenario.gob.mx/,1
Biblioteca Digital Trapalanda,http://trapalanda.bn.gov.ar,1
Biblioteca Virtual Antorcha,http://www.antorcha.net/index/biblioteca/literatura.html,4
Biblioteca Virtual Miguel de Cervantes,http://www.cervantesvirtual.com/,39
Colección Digital UANL (Universidad Autónoma de Nuevo León),https://cd.dgb.uanl.mx/,10
Conaculta (Secretaría de Cultura del Gobierno de México),https://mexicana.cultura.gob.mx/es/repositorio,2
Digital Library of the Caribbean (dLOC),https://dloc.com/,1
El Libro Total,https://www.ellibrototal.com/ltotal/,4
EnCaribe: Enciclopedia de Historia y Cultura del Caribe,http://www.encaribe.org/,3
Fondo antiguo y colecciones especiales de la Dirección General de Bibliotecas de la UNAM (Universidad Nacional Autónoma de México),http://dgb.unam.mx/index.php/catalogos/fondo-antiguo,4
Fondo de Cultura Económica,https://fondodeculturaeconomica.com/,1
Google Books,https://books.google.de/,6
HathiTrust Digital Library,https://www.hathitrust.org/,24
Ibero-Amerikanisches Institut,https://digital.iai.spk-berlin.de/viewer/,22
iBooks Store,https://books.apple.com/do/book/,3
Individual website,-,1
Internet Archive,https://archive.org/,26
La novela corta: una biblioteca virtual,https://www.lanovelacorta.com/,6
Libros México,https://www.librosmexico.mx,1
Project Gutenberg,https://www.gutenberg.org/,6
University library,-,37
Wikimedia Commons,https://commons.wikimedia.org/wiki/Main_Page,19
Wikisource,https://es.wikisource.org/wiki/Portada,11
Sum,-,256
